Order,Creation Date,Total Value,Client Hash
1475301371915-01,2024-11-09 14:31:48+00:00,206.21,7053095a3f039e1eac658fdeff7e8781735fb6e5e236177a0737b5ca575be6a1
1475571372029-01,2024-11-10 18:19:49+00:00,190.88,034b1e41df1d154b39fecaf20328c966f1d9d2bae752ef05ac084b4234fac53b
1475291371911-01,2024-11-09 14:28:12+00:00,459.0,cb3e083261993552aaf4c2df5bc2bc0fe2636710c1e28c47d553befaa16fd048
1475291371911-01,2024-11-09 14:28:12+00:00,459.0,cb3e083261993552aaf4c2df5bc2bc0fe2636710c1e28c47d553befaa16fd048
1475291371911-01,2024-11-09 14:28:12+00:00,459.0,cb3e083261993552aaf4c2df5bc2bc0fe2636710c1e28c47d553befaa16fd048
1475561372027-01,2024-11-10 17:23:57+00:00,805.88,0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794
1475561372027-01,2024-11-10 17:23:57+00:00,805.88,0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794
1475561372027-01,2024-11-10 17:23:57+00:00,805.88,0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794
1475561372027-01,2024-11-10 17:23:57+00:00,805.88,0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794
1475561372027-01,2024-11-10 17:23:57+00:00,805.88,0157cf4c9a6fb9b4c4a031a5a428198ece7336be4de1a7cf26bf844fa8054794
1475291371909-01,2024-11-09 13:45:15+00:00,407.88,44048928a394c9fec6a3b963a3c3367a0b759998db148c7fc8d408208da3213a
1475291371909-01,2024-11-09 13:45:15+00:00,407.88,44048928a394c9fec6a3b963a3c3367a0b759998db148c7fc8d408208da3213a
1475291371909-01,2024-11-09 13:45:15+00:00,407.88,44048928a394c9fec6a3b963a3c3367a0b759998db148c7fc8d408208da3213a
1475561372025-01,2024-11-10 16:57:06+00:00,190.88,ffa30aa217b0f3c691d49139c2faa24a6b74d31c2f9ce7b65b0419b9d415ba54
1475281371907-01,2024-11-09 13:24:25+00:00,668.88,d87b864587b6f1b72089cecc4a2524ce690a0d2b63f47c0823be91778b9a76af
1475281371907-01,2024-11-09 13:24:25+00:00,668.88,d87b864587b6f1b72089cecc4a2524ce690a0d2b63f47c0823be91778b9a76af
1475281371907-01,2024-11-09 13:24:25+00:00,668.88,d87b864587b6f1b72089cecc4a2524ce690a0d2b63f47c0823be91778b9a76af
1475281371907-01,2024-11-09 13:24:25+00:00,668.88,d87b864587b6f1b72089cecc4a2524ce690a0d2b63f47c0823be91778b9a76af
1475561372023-01,2024-11-10 16:56:22+00:00,132.64,6077fe24318f74ac1f4679a37bf1f85ca9326558551a2bade1f7b0f76514f1df
1475281371905-01,2024-11-09 13:21:15+00:00,190.4,bfae8c1860857c722c4bb95dc738388b650e1b3de264abc0684ccea33c46e47c
1475551372021-01,2024-11-10 16:18:39+00:00,167.05,e1790d6254b0f7da9bcf30895d7b5db4b844602d87c5c21ed489d7d5d22543a3
1475281371903-01,2024-11-09 13:04:43+00:00,190.88,ad545691d599ec58c5e4cc09c766f27fa86e3f7fd150ebb3cb8038f7da457874
1475551372019-01,2024-11-10 15:56:37+00:00,124.83,4b3885731d1f1b052574438a0bdd393e150b3c9d043f203713075914a0d31a4d
1475271371901-01,2024-11-09 12:11:01+00:00,155.68,1771977fa718bfbeb96e94dea725f07bd54e655c7cfd656a540b5a605b1a6637
1475271371901-01,2024-11-09 12:11:01+00:00,155.68,1771977fa718bfbeb96e94dea725f07bd54e655c7cfd656a540b5a605b1a6637
1475551372017-01,2024-11-10 15:42:49+00:00,317.27,04e9e59712f7e9cb791b4c3fb1ca955282bde08f57974b39a02fb2bf0b37b1a5
1475551372017-01,2024-11-10 15:42:49+00:00,317.27,04e9e59712f7e9cb791b4c3fb1ca955282bde08f57974b39a02fb2bf0b37b1a5
1475271371899-01,2024-11-09 11:54:31+00:00,330.08,196683e3d8e52ab91869ba0a73cf2007fafa50015ae2cc0445170130ce58fb97
1475271371899-01,2024-11-09 11:54:31+00:00,330.08,196683e3d8e52ab91869ba0a73cf2007fafa50015ae2cc0445170130ce58fb97
1475271371897-01,2024-11-09 11:40:37+00:00,468.0,ed94ddc51413a2d6e7c005da8543bbe40692b5cd57915622b54031cd122e1b78
1475271371897-01,2024-11-09 11:40:37+00:00,468.0,ed94ddc51413a2d6e7c005da8543bbe40692b5cd57915622b54031cd122e1b78
1475271371897-01,2024-11-09 11:40:37+00:00,468.0,ed94ddc51413a2d6e7c005da8543bbe40692b5cd57915622b54031cd122e1b78
