client_hash,recency,frequency,monetary
01139a2c40b8c4b24a1bb2bfb9d715979315a4e574fde267da4e5552fe820fc1,611,2,1322.1
0113ce9c94a9581e882b87a46e5ded5be24c7af73bb3c16eb0709705b525b03e,617,1,165.96
01168e43a7ae6ecc02abff68b89d5fd088da2c879ca9a7bbcc498734da5faf41,5,2,690.0
01171009bc41eff66985b0a77cb5034f767726f8ec0444935ac30db9cb5350de,531,1,99.2
011754f9c0bbebdfd200a1b7d3fe2485b496b496d89b21511aa8e8ed4fdc5d00,528,1,985.94
0117d30bda2faaabb9e28d98eee38bc385ae10891be5aff667deab7b8629d5be,327,2,234.63
0118072af254f02a218580b89b88525a9ae3f8e5acf33eac14f0391fc98f9adb,123,4,692.4
01185e1a98220a123d32d6013c50d9a9b92d50b94d26f67ed42b6eefd5ab87ef,433,1,137.05
0118aabfd2630bf6aaf0e37b9b7789208ac863851cbe0f8994c5d8e99c7497e1,131,1,209.27
011920ecc30727ee6e81d18164d86603f16f45303cf39ede95d7dffab369011e,461,2,245.71
011a09f2a17b75a8caaa616f90da73308ebff070f821b5a11239b2bdad8e796f,408,1,167.72
011a98e2a736e2d1258fe4959c1394c32632814afbb7d85786de0dd35bcf42b5,142,1,185.19
011b7c60dcd483672432d7ee6938204e5f64e52d6242e15925e452ba1556805c,160,1,177.99
011d401798a59fea3706a208bab04a3b8b13d4183c24c006d10a5b74144d5cb5,352,2,456.28003
011d5098c93b53f00687e5b6d30030cea95908165d3c02106bafec36e9ef9329,457,1,188.16
011da0e55c87f45b8bb2f58207c5e98398fd833b4d0282acef5a872de2b252b8,351,1,303.47
011fcc6569168867fd38d227739b98c3bd6c5d798e8342ce8647f3618d3cf989,341,1,101.19
011fe36c8ef4eb36ae8d064c806511d014751fca837f5257bc07fa635975e76a,465,1,265.9
011ff0d5344d497f5877b973c4fe5a5539773b6794402d797275791019bea711,403,1,527.0
012221fc5ad854e31b68e4d954434c7a3d515703eefb3a54513f06acb2be971c,166,1,183.19
01226ea62a141d69c852effcdd6a24ab5c0ce0d90734943b2aff7879911c8c0d,536,1,422.5
012459b6115886913e3e736ed8145dac3d7710ed4ac1cd0d531f9e86af572d72,226,4,821.15
01247cdaf03eb7f5c388ba58edb356f32d372784a3933a096a4b819da2b25d3e,517,1,319.87
01248f0278e18bcff67f4aab1764c66c585a93bbb0678dbd5cb3ea083fdecded,185,1,335.86
